	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
Dennd1b	1521	3258	4157	2903
Dennd1c	1835	3175	3548	2785
Dennd2a	2	1	4	0
Dennd2c	69	125	133	152
Dennd2d	9346	14925	6608	2705
Dennd3	142	212	299	182
Dennd4a	651	901	1740	847
Dennd4b	2355	3866	3345	1891
Dennd4c	1247	2501	2304	1584
Dennd5a	108	222	553	512
Dennd5b	5	15	12	9
Denr	1104	1911	2001	1077
Depdc1a	662	1320	1136	747
Depdc1b	602	1174	1408	1459
Depdc5	1203	2214	1915	1234
Depdc7	1	2	0	0
Deptor	14	16	11	15
Dera	1164	2292	1718	1142
Derl1	1802	3156	3351	2985
Derl2	789	1532	1729	945
Derl3	52	65	175	40
Des	0	0	0	0
Det1	229	376	330	181
Dexi	153	210	246	177
Dffa	568	934	978	588
Dffb	276	556	468	306
Dfna5	9	8	25	4
Dgat1	432	573	1361	933
Dgat2	10	10	21	21
Dgcr14	477	907	979	510
Dgcr2	1600	2910	2641	1747
Dgcr6	86	97	125	92
Dgcr8	1237	1918	2552	2037
Dgka	19711	33837	21693	16209
Dgkd	4980	8758	8593	8344
Dgke	398	728	522	300
Dgkg	212	426	566	399
Dgkh	80	216	406	326
Dgki	0	0	3	0
Dgkk	0	0	0	0
Dgkq	343	656	473	387
Dgkz	8346	15856	11208	9660
Dguok	252	406	303	150
Dhcr24	2150	3650	3188	1590
Dhcr7	1177	2061	1676	784
Dhdds	1130	1886	1879	1296
Dhdh	72	101	99	79
Dhfr	1514	2661	2475	1335
Dhh	1	0	3	1
Dhodh	183	334	294	264
Dhps	414	846	899	569
Dhrs1	387	542	1140	750
Dhrs11	162	300	295	129
Dhrs13	67	124	196	116
Dhrs2	0	0	0	0
Dhrs3	79	277	42	15
Dhrs4	339	568	685	458
Dhrs7	263	461	779	709
Dhrs7b	221	429	524	392
Dhrs9	6	9	44	24
Dhtkd1	0	0	1	3
Dhx15	5994	10933	9572	5861
Dhx16	1810	3185	3541	3344
Dhx29	1142	1857	1513	998
Dhx30	1373	2811	2203	1545
Dhx32	375	712	532	567
Dhx33	846	1565	1074	456
Dhx34	408	738	487	216
Dhx35	379	738	631	523
Dhx36	2510	4227	3069	1523
Dhx37	876	1541	1335	854
Dhx38	1696	3200	2978	2496
Dhx40	1203	2122	1820	935
Dhx57	882	1559	1345	837
Dhx58	2344	3793	3034	1611
Dhx8	1829	3568	3038	2113
Dhx9	9450	16885	14470	9128
Diablo	961	1561	1522	783
Diap1	3974	7813	10504	12016
Diap2	196	458	335	155
Diap3	1121	2076	2154	2207
Dicer1	2083	4274	2956	2083
Dido1	2203	4134	3241	2435
Dimt1	75	197	157	53
Dio1	0	0	0	0
Dio2	7	2	6	3
Dio3os	0	0	0	0
Dip2a	207	338	636	623
Dip2b	3092	5316	5164	3341
Dip2c	39	70	95	48
Diras1	0	0	0	0
Diras2	0	0	0	0
Dirc2	57	123	91	85
Dis3	915	1545	1315	920
Dis3l	559	944	959	629
Dis3l2	425	695	523	251
Disc1	5	8	8	3
Dixdc1	13	10	24	11
Dkc1	2411	4359	3357	2205
Dkk3	0	0	0	0
Dkk4	0	0	0	0
Dkkl1	24	92	453	302
Dlat	743	1247	1523	818
Dlc1	0	1	2	2
Dld	2083	3643	2654	1641
Dlec1	0	0	0	1
Dleu2	90	152	91	17
Dleu7	15	16	12	1
Dlg1	1113	2073	2098	1326
Dlg2	0	2	1	2
Dlg3	253	353	155	61
Dlg4	344	521	574	356
Dlg5	1	0	5	7
Dlgap1	0	0	0	0
Dlgap3	0	0	2	6
Dlgap4	433	768	737	394
Dlgap5	1592	3337	4700	3190
Dlk1	0	0	0	1
Dlk2	0	5	2	5
Dll1	3	2	5	12
Dll3	2	2	2	1
Dll4	0	0	0	0
Dlst	3268	5295	5191	3161
Dlx1	0	0	0	0
Dlx2	0	0	0	1
Dmap1	142	266	274	263
Dmbt1	2	0	1	0
Dmbx1	0	0	0	0
Dmc1	1	5	6	2
Dmd	1	0	1	1
Dmkn	0	0	0	0
Dmp1	0	1	0	0
Dmpk	12	5	52	12
Dmrt2	0	0	1	0
Dmrta1	0	1	0	0
Dmrta2	2	1	1	0
Dmrtc2	0	0	0	0
Dmtf1	1468	2296	1886	1114
Dmwd	84	134	408	152
Dmxl1	726	1382	1011	689
Dmxl2	4	6	5	3
Dna2	659	1298	1042	796
Dnahc1	9	5	1	0
Dnahc10	6	12	4	11
Dnahc11	14	14	21	11
Dnahc17	39	33	44	37
Dnahc2	0	0	4	0
Dnahc6	0	0	0	0
Dnahc7b	3	3	6	4
Dnahc8	1577	3014	2017	1592
Dnahc9	0	1	3	0
Dnaic1	0	0	1	2
Dnaic2	0	0	0	0
Dnaja1	5424	10840	6406	3369
Dnaja2	4338	7061	6909	5206
Dnaja3	978	1608	1297	781
Dnaja4	131	296	172	138
Dnajb1	1273	2507	2661	1868
Dnajb11	1996	3557	6486	4271
Dnajb12	525	853	945	455
Dnajb13	35	86	150	100
Dnajb14	30	64	36	26
Dnajb2	115	148	173	101
Dnajb3	2	10	3	2
Dnajb4	101	188	212	254
Dnajb5	226	356	333	129
Dnajb6	1871	2992	4007	2416
Dnajb7	1	4	11	0
Dnajb9	127	289	429	251
Dnajc1	1312	2059	2605	1513
Dnajc10	2800	4192	4749	2742
Dnajc11	730	1216	1216	1031
Dnajc12	44	78	43	23
Dnajc13	2618	5124	4215	2789
Dnajc14	1271	2125	2273	1944
Dnajc15	538	1221	3031	1265
Dnajc16	453	714	561	391
Dnajc17	101	163	168	160
Dnajc18	393	695	590	379
Dnajc19	82	208	268	68
Dnajc2	3008	4725	4604	3331
Dnajc21	535	920	1051	1915
Dnajc22	0	0	0	0
Dnajc24	169	386	236	279
Dnajc25	32	102	145	110
Dnajc27	441	679	339	150
Dnajc28	7	20	12	9
Dnajc3	4303	8049	7916	4958
Dnajc30	190	396	305	144
Dnajc4	79	166	190	163
Dnajc5	3654	5527	5178	3277
Dnajc5b	0	0	0	0
Dnajc6	115	129	205	88
Dnajc7	3239	4771	5776	4252
Dnajc8	3198	5118	5117	3218
Dnajc9	2971	4742	5101	5185
Dnalc1	44	48	42	14
Dnalc4	89	122	116	69
Dnali1	0	3	0	0
Dnase1	25	69	52	24
Dnase1l1	91	185	299	275
Dnase1l2	15	38	44	24
Dnase1l3	325	449	212	87
Dnase2a	103	174	232	40
Dnase2b	0	0	0	0
Dnd1	22	61	37	15
Dnlz	288	521	456	198
Dnm1	22	12	37	39
Dnm1l	1663	2949	2641	1785
Dnm2	2327	4264	4890	2563
Dnm3	1	5	5	5
Dnm3os	0	0	0	0
Dnmbp	125	216	142	123
Dnmt1	9180	16306	19047	18243
Dnmt3a	1776	2811	1699	1117
Dnmt3b	202	331	410	362
Dnmt3l	0	0	0	0
Dnpep	426	765	1103	624
Dntt	58	37	65	48
Dnttip1	510	883	753	642
Dnttip2	1701	3164	2408	1724
Doc2a	103	247	190	57
Doc2b	0	0	0	0
Doc2g	25	32	50	20
Dock1	1	0	2	10
Dock10	3936	7200	9432	5835
Dock11	5819	11007	9017	4864
Dock2	9868	18463	21854	15520
Dock3	9	16	18	2
Dock4	7	20	8	13
Dock5	183	421	583	444
Dock6	32	61	50	47
Dock7	0	1	14	7
Dock8	5711	12599	7672	7695
Dock9	389	722	631	385
Dohh	151	308	367	315
Dok1	206	380	502	433
Dok2	679	1185	2269	1916
Dok3	8	32	9	14
Dok4	1	3	13	3
Dok7	0	0	1	3
Dolk	168	187	301	170
Dolpp1	588	1089	1495	675
Dom3z	367	661	852	647
Donson	1520	2637	3389	2484
Dopey1	878	1780	1054	554
Dopey2	1140	1897	1784	1281
Dos	220	382	231	105
Dot1l	1751	3200	2869	2049
Dpagt1	419	725	1043	461
Dpcd	278	396	759	674
Dpcr1	3	9	10	4
Dpep2	8	9	19	26
Dpep3	0	0	0	0
Dpf1	9	11	14	10
Dpf2	1316	2413	2711	1724
Dpf3	0	0	3	1
Dph1	145	259	186	124
Dph2	417	636	544	358
Dph3	373	677	820	450
Dph5	434	777	582	446
Dpm1	306	535	695	334
Dpm2	544	865	962	506
Dpm3	44	66	171	48
Dpp10	0	0	0	0
Dpp3	1795	3353	3592	2682
Dpp4	3632	6279	1788	600
Dpp7	102	123	53	48
Dpp8	4275	6939	5865	2900
Dpp9	1276	2331	2028	1462
Dppa2	0	1	1	0
Dpt	0	0	0	0
Dpy19l1	1263	2461	3277	2332
Dpy19l3	716	1187	592	302
Dpy19l4	287	529	456	254
Dpy30	350	819	1158	415
Dpysl2	2772	5258	5761	3762
Dpysl3	0	0	0	0
Dpysl5	0	0	2	2
Dqx1	53	83	64	50
Dr1	2170	3698	3156	1963
Dram1	16	29	35	18
Dram2	391	685	665	416
Drap1	3124	5409	4684	2177
Drd4	0	0	0	0
Drg1	2014	3188	3629	2058
Drg2	696	1280	1311	624
Drosha	2090	3291	2572	1534
Drp2	23	29	22	14
Dsc3	0	0	0	0
Dscam	0	0	1	0
Dscaml1	0	0	0	0
Dscc1	268	382	515	406
Dscr3	1150	1953	1821	1040
Dse	98	151	57	31
Dsel	55	88	59	38
Dsg1c	0	0	0	0
Dsg2	1	1	0	4
Dsg4	0	0	1	0
Dsn1	759	1436	1527	812
Dsp	2	9	61	27
Dst	29	34	50	52
Dstn	359	869	1022	730
Dstyk	38	70	64	27
Dtd1	565	1073	566	306
Dthd1	2	2	0	1
Dtl	2717	4692	5301	3279
Dtnb	384	621	657	399
Dtnbp1	378	682	595	296
Dtwd1	182	280	196	134
Dtwd2	103	235	209	96
Dtx1	2404	3279	10551	7719
Dtx2	406	642	463	306
Dtx3	674	821	936	610
Dtx3l	7235	11491	9731	5581
Dtx4	91	124	59	82
Dtymk	528	1121	1303	968
Dub1	0	0	0	0
Duox1	0	1	4	0
Duox2	0	0	0	0
Duoxa2	0	0	0	0
Dus1l	665	1213	1310	857
Dus2l	662	1202	1655	1452
Dus3l	481	778	774	689
Dus4l	95	227	162	70
Dusp1	157	249	498	204
Dusp10	577	921	945	555
Dusp11	4479	8159	7814	3650
Dusp12	239	423	348	191
Dusp13	0	0	0	0
Dusp14	20	44	54	41
Dusp15	0	1	1	1
Dusp16	179	280	316	221
Dusp18	8	15	19	9
Dusp19	211	506	321	213
Dusp2	713	1270	2449	1764
Dusp22	178	243	493	262
Dusp23	20	35	43	13
